station,mean,median,rms
1,1.08010611451e-07,9.47468519786e-08,1.3420706375e-07
2,6.86599558554e-08,6.03688419958e-08,8.03930788842e-08
3,1.02423005311e-07,9.006318581e-08,1.25066019138e-07
5,1.07241324731e-07,9.49925580996e-08,1.27066235935e-07
4,8.11227413702e-08,7.1672587256e-08,9.74257704317e-08
6,7.06586818108e-08,5.54377561049e-08,8.93901320022e-08
7,9.29463728217e-08,8.27959610827e-08,1.11962736333e-07
8,3.44967126615e-08,2.91418213024e-08,4.087647835e-08
13,1.52305281945e-07,1.27754884707e-07,1.79735825883e-07
9,1.74013579074e-07,1.53239282597e-07,2.10557229343e-07
10,4.12609133369e-08,3.6000262402e-08,4.82417144435e-08
12,6.08919590615e-08,5.17613561984e-08,7.44296523397e-08
15,4.2717506918e-08,3.61622828099e-08,5.23139653604e-08
UGAP3,8.38952174481e-07,6.98411220013e-07,1.18970130374e-06
16,6.52629938838e-08,5.52833399942e-08,7.82428319304e-08
17,4.88735770194e-08,4.0832466437e-08,5.9946839317e-08
18,2.31458439336e-08,1.91938956803e-08,3.11745615332e-08
20,2.8162919709e-08,2.30524622553e-08,3.71291012962e-08
21,6.02548417084e-08,4.92913774773e-08,7.36110513907e-08
22,3.01168309185e-08,2.36728139813e-08,4.48060575156e-08
23,6.31468215325e-08,5.22309227793e-08,7.98888709944e-08
25,5.19843838852e-08,4.28790610353e-08,6.86635051396e-08
26,4.82905260143e-08,3.88147807988e-08,6.73032025444e-08
27,2.48224158656e-08,1.93523347402e-08,3.72147464369e-08
UGAP5,1.53343949459e-06,1.20791347515e-06,2.35285424404e-06
UGAP6,1.07165904503e-06,9.33747176387e-07,1.24108466061e-06
28,7.73325246923e-08,6.37967707202e-08,1.05432689146e-07
30,6.95034412231e-08,5.80027444209e-08,8.82894281554e-08
31,4.1118770677e-08,2.91630508039e-08,5.3738152165e-08
32,8.49574649165e-08,6.45122147033e-08,1.06456038881e-07
33,6.88565701906e-08,5.17371106569e-08,8.45803740296e-08
34,7.14575810408e-08,4.99670677113e-08,9.46832097976e-08
35,1.36150713956e-07,1.05184925676e-07,1.680910227e-07
36,6.37000202341e-08,4.73884101826e-08,8.05000428805e-08
37,6.92260268146e-08,3.88538043758e-08,1.45150193115e-07
38,4.35528572996e-08,3.25947977865e-08,5.9007536807e-08
39,5.27295548988e-08,4.35260064288e-08,6.35178298465e-08
40,4.42911144354e-08,3.80298459812e-08,5.32622949884e-08
41,3.80653988439e-08,3.25628326352e-08,4.6570711502e-08
42,5.17947093587e-08,4.11168011345e-08,6.37743320872e-08
